,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,No._x,Market Cap_x,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Price_y,Change_y,Volume_y,No._x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Price_x,Change_x,Volume_x,No._y,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price_y,Change_y,from Open,Gap,Volume_y
14,34,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,53.01M,-,3.57,-2.99%,160300,34,53.01M,-,-27.30%,-28.90%,-,23.90,23.90,0.00,0.00,-,-,-,May 11/a,3.57,-2.99%,160300,34,53.01M,-,-,-,-,0.67,0.79,-,50.20%,-,42.50%,-,-,3.57,-2.99%,160300,34,53.01M,14.41M,14.37M,0.40%,102.04%,6.10%,6.21%,3.29%,1.10,431.38K,3.57,-2.99%,160300,34,3.78%,9.85%,-13.35%,-16.39%,-55.65%,-10.97%,4.20%,5.28%,-,431.38K,0.37,3.57,-2.99%,160300,34,2.71,0.16,7.85%,3.77%,-14.57%,-64.12%,22.26%,57.70,3.57,-2.99%,-1.65%,-1.36%,160300
15,35,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3.31B,74.45,49.66,0.61%,254301,35,3.31B,1.53%,1.20%,3.20%,1.90%,1.40,1.40,0.37,0.44,16.10%,2.70%,0.80%,Jun 08/a,49.66,0.61%,254301,35,3.31B,74.45,15.73,4.65,0.56,2.13,8.75,7.29,-99.80%,-0.63%,-68.40%,16.00%,4.10%,49.66,0.61%,254301,35,3.31B,67.20M,66.25M,1.10%,-6.70%,95.50%,-0.30%,2.09%,3.19,433.63K,49.66,0.61%,254301,35,-0.70%,-5.28%,7.44%,29.19%,44.36%,31.24%,2.27%,2.15%,2.00,433.63K,0.59,49.66,0.61%,254301,35,1.39,1.13,-2.42%,-3.88%,16.33%,-10.49%,63.30%,43.68,49.66,0.61%,0.30%,0.30%,254301
16,36,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,12.86B,58.63,289.51,1.99%,285992,36,12.86B,-,16.40%,18.50%,12.50%,6.10,5.50,0.00,0.00,80.90%,27.10%,26.60%,Apr 29/b,289.51,1.99%,285992,36,12.86B,58.63,55.46,3.43,15.17,9.85,22.03,58.12,11.40%,19.70%,42.20%,17.10%,20.80%,289.51,1.99%,285992,36,12.86B,45.24M,44.33M,1.30%,-6.05%,93.60%,-3.07%,1.71%,2.71,279.33K,289.51,1.99%,285992,36,1.28%,-3.75%,-3.89%,9.15%,22.66%,-10.70%,2.75%,3.00%,2.30,279.33K,1.02,289.51,1.99%,285992,36,1.30,8.99,3.57%,-5.49%,-2.85%,-25.27%,23.72%,49.63,289.51,1.99%,1.58%,0.41%,285992
17,37,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,87.71B,-,150.73,4.54%,8489709,37,87.71B,-,-,-,-74.20%,1.70,1.70,0.63,0.63,50.50%,-,-,May 13/a,150.73,4.54%,8489709,37,87.71B,-,-,-,25.62,28.66,13.35,216.53,87.10%,92.50%,-,-,29.70%,150.73,4.54%,8489709,37,87.71B,600.96M,183.16M,7.50%,-5.86%,42.10%,1.12%,14.98%,3.94,6.96M,150.73,4.54%,8489709,37,5.28%,-7.15%,-16.17%,-,-,2.68%,4.39%,4.94%,2.50,6.96M,1.22,150.73,4.54%,8489709,37,-,6.92,7.06%,-7.27%,-12.03%,-31.47%,24.06%,51.63,150.73,4.54%,3.60%,0.90%,8489709
18,38,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.45B,8.73,18.56,0.76%,857220,38,2.45B,7.11%,4.00%,24.30%,1.70%,-,-,4.30,4.30,76.40%,46.50%,42.80%,May 07/b,18.56,0.76%,857220,38,2.45B,8.73,9.63,1.09,3.59,1.62,9.42,3.94,-4.00%,1.05%,6.50%,8.00%,33.50%,18.56,0.76%,857220,38,2.45B,125.23M,117.43M,2.20%,0.12%,45.90%,8.34%,4.23%,3.48,1.43M,18.56,0.76%,857220,38,2.20%,4.04%,18.37%,36.17%,98.93%,30.89%,1.87%,2.59%,2.20,1.43M,0.60,18.56,0.76%,857220,38,1.91,0.43,4.72%,8.93%,28.66%,-1.49%,150.81%,63.31,18.56,0.76%,0.60%,0.16%,857220
19,39,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,683.21M,-,13.91,1.90%,41365,39,683.21M,1.87%,-,-,-,-,-,-,-,-,-,-,May 11/a,13.91,1.90%,41365,39,683.21M,-,-,-,6.12,-,-,-,-,-,-,-,-,13.91,1.90%,41365,39,683.21M,49.12M,34.08M,0.42%,0.00%,78.85%,-,2.44%,7.96,104.69K,13.91,1.90%,41365,39,-1.07%,0.14%,0.43%,36.91%,53.19%,16.79%,2.22%,3.05%,-,104.69K,0.40,13.91,1.90%,41365,39,-,0.44,-1.35%,-1.70%,8.42%,-34.39%,54.90%,46.54,13.91,1.90%,1.90%,0.00%,41365
0,40,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,194.03B,34.04,109.29,0.08%,7166975,40,194.03B,1.65%,8.10%,17.80%,9.70%,1.80,1.30,0.52,0.55,56.90%,18.10%,15.30%,Apr 20/b,109.29,0.08%,7166975,40,194.03B,34.04,23.57,2.66,5.20,5.79,23.18,39.70,24.50%,6.62%,7.80%,12.82%,11.10%,109.29,0.08%,7166975,40,194.03B,1.78B,1.76B,0.70%,-3.14%,76.20%,0.71%,0.81%,2.47,5.74M,109.29,0.08%,7166975,40,-5.53%,-7.78%,-6.79%,1.05%,23.84%,-0.18%,2.67%,1.66%,1.80,5.74M,1.25,109.29,0.08%,7166975,40,0.69,2.42,-5.74%,-8.15%,-3.57%,-14.98%,26.85%,34.51,109.29,0.08%,-0.01%,0.09%,7166975
1,41,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,817.26M,13.87,40.68,0.47%,35643,41,817.26M,1.18%,1.00%,8.00%,18.80%,-,-,0.34,0.34,-,86.30%,24.30%,Apr 29/b,40.68,0.47%,35643,41,817.26M,13.87,14.72,-,3.31,1.08,1.29,14.39,-10.30%,-20.12%,9.20%,-,22.20%,40.68,0.47%,35643,41,817.26M,20.14M,18.84M,1.90%,-4.98%,51.80%,9.19%,1.50%,4.43,63.97K,40.68,0.47%,35643,41,0.25%,-0.46%,2.49%,21.80%,49.67%,19.19%,2.40%,2.53%,3.00,63.97K,0.56,40.68,0.47%,35643,41,1.09,1.08,0.70%,0.75%,19.50%,-6.14%,89.69%,52.06,40.68,0.47%,0.44%,0.02%,35643
2,42,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,284.30M,-,2.94,-0.34%,914203,42,284.30M,-,-61.40%,147.90%,122.00%,20.50,20.50,-,-,-,-,-,May 05/b,2.94,-0.34%,914203,42,284.30M,-,-,-,37.91,-,2.16,-,65.40%,14.60%,6.20%,-,-21.60%,2.94,-0.34%,914203,42,284.30M,93.43M,77.39M,1.40%,-4.24%,29.30%,15.36%,5.95%,3.26,1.41M,2.94,-0.34%,914203,42,3.16%,-0.68%,-10.91%,-25.57%,44.12%,-17.18%,4.89%,6.32%,2.10,1.41M,0.65,2.94,-0.34%,914203,42,2.90,0.18,6.50%,-4.13%,-13.95%,-67.41%,83.75%,51.21,2.94,-0.34%,-0.34%,0.00%,914203
3,43,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,866.65M,8.00,39.70,1.33%,16263,43,866.65M,0.50%,-,-,-2.40%,-,-,0.00,0.02,-,-,-,-,39.70,1.33%,16263,43,866.65M,8.00,-,-,47.36,0.97,3.10,-,-52.30%,-,187.70%,-,-3.60%,39.70,1.33%,16263,43,866.65M,22.22M,3.11M,0.10%,-12.08%,73.20%,-0.58%,1.61%,2.68,18.64K,39.70,1.33%,16263,43,9.34%,10.99%,15.78%,7.73%,5.51%,13.04%,3.45%,2.37%,-,18.64K,0.87,39.70,1.33%,16263,43,1.30,0.93,9.52%,12.07%,10.90%,-6.06%,31.41%,76.56,39.70,1.33%,1.82%,-0.48%,16263
4,44,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.95B,32.32,60.15,-1.68%,135728,44,2.95B,0.33%,3.40%,4.80%,5.60%,2.20,1.30,0.13,0.13,19.30%,6.90%,4.80%,Apr 29/a,60.15,-1.68%,135728,44,2.95B,32.32,23.59,7.88,1.56,1.51,35.99,22.99,-5.90%,28.53%,-4.70%,4.10%,-2.00%,60.15,-1.68%,135728,44,2.95B,48.00M,47.76M,1.60%,-4.95%,92.20%,1.84%,1.21%,2.12,271.35K,60.15,-1.68%,135728,44,-5.59%,-6.44%,1.69%,13.40%,41.20%,9.50%,2.74%,2.86%,2.20,271.35K,0.50,60.15,-1.68%,135728,44,-,1.91,-3.54%,-4.30%,7.52%,-12.14%,61.48%,41.69,60.15,-1.68%,-2.16%,0.49%,135728
5,45,ACACU,Acies Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.55,-1.40%,9885,45,-,-,-,-,-,-,-,-,-,-,-,-,-,10.55,-1.40%,9885,45,-,-,-,-,-,-,-,-,-,-,-,-,-,10.55,-1.40%,9885,45,-,-,18.64M,-,-,58.48%,-,0.00%,0.03,8.97K,10.55,-1.40%,9885,45,0.76%,-1.77%,-3.65%,4.98%,-,-1.59%,1.61%,1.52%,-,8.97K,1.10,10.55,-1.40%,9885,45,-,0.19,0.87%,0.72%,-1.15%,-25.96%,6.78%,51.67,10.55,-1.40%,0.76%,-2.15%,9885
6,46,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3.73B,-,23.69,1.63%,1385512,46,3.73B,-,-33.60%,-41.20%,-45.80%,6.20,6.10,0.00,0.00,95.60%,-57.60%,-56.70%,May 05/a,23.69,1.63%,1385512,46,3.73B,-,-,-,8.15,6.53,6.46,-,-12.00%,37.10%,-1.80%,25.00%,491.50%,23.69,1.63%,1385512,46,3.73B,160.01M,158.13M,0.10%,-47.22%,94.10%,-1.19%,4.58%,2.65,2.74M,23.69,1.63%,1385512,46,7.49%,22.11%,-51.63%,-56.71%,-48.22%,-55.69%,4.33%,4.51%,2.50,2.74M,0.51,23.69,1.63%,1385512,46,0.72,0.88,9.54%,8.79%,-40.84%,-59.66%,23.39%,62.87,23.69,1.63%,1.28%,0.34%,1385512
7,47,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.94,0.30%,22201,47,-,-,-,-,-,-,-,-,-,-,-,-,-,9.94,0.30%,22201,47,-,-,-,-,-,-,-,-,-,-,-,-,-,9.94,0.30%,22201,47,-,-,-,-,-,0.47%,-,-,0.00,464.42K,9.94,0.30%,22201,47,0.40%,0.10%,-,-,-,-0.10%,0.42%,0.40%,-,464.42K,0.05,9.94,0.30%,22201,47,-,0.04,0.22%,0.12%,-0.00%,-1.49%,1.43%,52.85,9.94,0.30%,0.30%,0.00%,22201
8,48,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.81B,-,9.16,-5.18%,6739874,48,1.81B,-,-,-,-,-,-,-,-,-,-,-,May 13/a,9.16,-5.18%,6739874,48,1.81B,-,-,-,6.35,0.77,-,-,-,-,-,-,-,9.16,-5.18%,6739874,48,1.81B,197.98M,196.81M,0.20%,0.00%,19.36%,-,18.50%,4.23,8.61M,9.16,-5.18%,6739874,48,2.12%,4.33%,-4.58%,-16.35%,-35.63%,10.23%,8.30%,7.21%,-,8.61M,0.78,9.16,-5.18%,6739874,48,-,0.59,11.50%,8.36%,4.34%,-51.74%,146.90%,55.92,9.16,-5.18%,-6.34%,1.24%,6739874
9,49,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong,-,-,10.37,1.12%,4945,49,-,-,-,-,-,-,-,-,-,-,-,-,-,10.37,1.12%,4945,49,-,-,-,-,-,-,-,-,-,-,-,-,-,10.37,1.12%,4945,49,-,-,-,5.87%,-,7.50%,-,-,0.00,26.21K,10.37,1.12%,4945,49,1.63%,2.05%,-,-,-,2.95%,0.64%,0.29%,-,26.21K,0.19,10.37,1.12%,4945,49,-,0.06,1.60%,1.87%,1.87%,-1.27%,3.46%,62.59,10.37,1.12%,0.36%,0.76%,4945
10,50,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,580.79M,17.51,28.29,-0.98%,34415,50,580.79M,-,1.00%,10.00%,19.70%,-,-,0.22,0.22,-,95.00%,34.30%,Apr 22/a,28.29,-0.98%,34415,50,580.79M,17.51,14.22,0.97,5.90,1.69,0.87,5.85,-12.30%,-3.21%,70.00%,18.00%,15.10%,28.29,-0.98%,34415,50,580.79M,20.38M,19.53M,3.80%,0.91%,86.70%,1.19%,1.34%,3.60,72.71K,28.29,-0.98%,34415,50,0.18%,4.12%,23.70%,91.28%,148.16%,77.70%,3.02%,3.72%,1.80,72.71K,0.47,28.29,-0.98%,34415,50,0.92,1.01,3.21%,8.83%,53.38%,-2.21%,188.38%,59.51,28.29,-0.98%,-0.95%,-0.04%,34415
11,51,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,6.67B,1340.28,48.25,-0.29%,453590,51,6.67B,3.90%,0.10%,0.20%,2.70%,-,-,1.20,1.20,50.00%,13.80%,0.60%,Apr 19/a,48.25,-0.29%,453590,51,6.67B,1340.28,108.43,76.07,7.81,2.17,162.32,174.65,-15.20%,345.00%,-12.80%,17.62%,2.90%,48.25,-0.29%,453590,51,6.67B,137.71M,136.76M,0.90%,-1.99%,98.20%,-3.77%,1.76%,2.45,979.45K,48.25,-0.29%,453590,51,4.30%,6.65%,15.29%,19.17%,27.68%,12.81%,1.52%,1.86%,2.10,979.45K,0.46,48.25,-0.29%,453590,51,0.94,0.89,3.56%,6.72%,17.46%,-1.31%,55.29%,64.27,48.25,-0.29%,-0.52%,0.23%,453590
12,52,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.93B,-,51.02,1.88%,342111,52,2.93B,-,-21.40%,-348.60%,20.50%,6.10,6.10,0.00,0.00,43.40%,-28.40%,-32.00%,May 05/a,51.02,1.88%,342111,52,2.93B,-,-,-,18.84,6.78,7.00,-,9.10%,13.10%,-,24.80%,-,51.02,1.88%,342111,52,2.93B,51.58M,45.31M,4.10%,-6.42%,72.20%,43.41%,8.24%,4.17,895.40K,51.02,1.88%,342111,52,-0.10%,13.25%,27.81%,2.33%,-,17.29%,4.48%,6.82%,1.60,895.40K,0.38,51.02,1.88%,342111,52,-,2.69,12.41%,10.84%,14.63%,-21.81%,77.89%,61.56,51.02,1.88%,0.49%,1.38%,342111
13,53,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,861.27M,25.74,9.01,-0.11%,470582,53,861.27M,2.89%,1.20%,4.70%,5.10%,1.60,0.90,1.63,1.70,29.50%,5.60%,2.00%,Apr 27/a,9.01,-0.11%,470582,53,861.27M,25.74,6.00,2.57,0.51,1.21,11.47,13.21,-39.00%,23.11%,-3.70%,10.00%,1.80%,9.01,-0.11%,470582,53,861.27M,95.10M,92.47M,2.70%,-13.67%,91.00%,-2.47%,3.37%,5.50,567.27K,9.01,-0.11%,470582,53,-0.33%,-0.11%,7.13%,12.77%,31.15%,6.63%,2.22%,2.78%,1.60,567.27K,0.83,9.01,-0.11%,470582,53,2.22,0.26,-3.18%,1.91%,14.14%,-7.78%,73.27%,45.92,9.01,-0.11%,-0.22%,0.11%,470582
14,54,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1.21B,-,12.88,-0.46%,127385,54,1.21B,-,-5.20%,-28.40%,1.60%,4.00,4.00,2.09,2.21,35.20%,0.20%,-4.20%,May 10/a,12.88,-0.46%,127385,54,1.21B,-,16.10,-,1.81,6.74,6.26,-,-177.70%,25.98%,-,21.74%,-,12.88,-0.46%,127385,54,1.21B,82.78M,55.73M,5.10%,-7.40%,66.60%,3.01%,4.89%,11.10,245.58K,12.88,-0.46%,127385,54,-1.08%,5.75%,16.04%,24.32%,20.94%,27.52%,2.91%,4.75%,2.30,245.58K,0.52,12.88,-0.46%,127385,54,1.32,0.53,-0.14%,5.49%,14.44%,-14.76%,75.48%,52.03,12.88,-0.46%,-0.39%,-0.08%,127385
15,55,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,41.91M,-,3.00,2.39%,102493,55,41.91M,-,-87.10%,-192.80%,-,1.10,1.10,0.00,0.00,-,-,-,Mar 01/a,3.00,2.39%,102493,55,41.91M,-,-,-,10.48,4.05,2.64,-,29.40%,-27.70%,37.30%,-,-,3.00,2.39%,102493,55,41.91M,14.14M,12.12M,0.50%,0.00%,30.30%,-27.53%,1.69%,0.29,701.19K,3.00,2.39%,102493,55,1.35%,10.29%,4.53%,11.94%,-3.23%,14.50%,5.13%,5.65%,2.50,701.19K,0.15,3.00,2.39%,102493,55,1.51,0.15,8.17%,4.50%,2.50%,-48.63%,39.53%,57.51,3.00,2.39%,3.81%,-1.37%,102493
16,56,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,69.00,0.70%,34640,56,-,0.55%,-,-,-,-,-,-,-,-,-,-,-,69.00,0.70%,34640,56,-,-,-,-,-,-,-,-,-,-,-,-,-,69.00,0.70%,34640,56,-,-,-,-,-,-,-,-,-,129.53K,69.00,0.70%,34640,56,-0.69%,1.75%,-5.40%,1.22%,82.44%,-13.91%,1.71%,2.56%,-,129.53K,0.27,69.00,0.70%,34640,56,-,1.72,3.70%,-3.08%,-2.78%,-32.17%,91.35%,50.56,69.00,0.70%,0.26%,0.44%,34640
17,57,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,389.45M,-,12.27,0.25%,81882,57,389.45M,-,-,-,-33.10%,9.10,9.10,0.00,0.00,-,-,-,-,12.27,0.25%,81882,57,389.45M,-,-,-,28.02,1.36,1.74,-,70.30%,-8.40%,-,29.10%,-,12.27,0.25%,81882,57,389.45M,26.10M,12.51M,11.95%,-2.58%,64.20%,114.34%,3.83%,4.03,118.83K,12.27,0.25%,81882,57,-6.48%,-9.98%,-10.44%,1.83%,-17.90%,-12.67%,6.87%,6.89%,1.40,118.83K,0.69,12.27,0.25%,81882,57,2.47,0.92,-9.03%,-9.23%,-10.31%,-43.46%,26.36%,38.00,12.27,0.25%,-0.89%,1.14%,81882
18,58,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,288.41M,-,9.99,-0.40%,155207,58,288.41M,-,-11.90%,-13.70%,-,0.30,0.30,0.00,0.00,-,-,-,-,9.99,-0.40%,155207,58,288.41M,-,-,-,-,1.55,-,-,-,-,-,-,-,9.99,-0.40%,155207,58,288.41M,28.75M,23.00M,-,-,45.80%,-17.99%,2.24%,1.32,389.03K,9.99,-0.40%,155207,58,0.20%,-0.20%,-5.58%,1.83%,-,-2.25%,0.52%,0.59%,-,389.03K,0.40,9.99,-0.40%,155207,58,-,0.06,0.23%,0.17%,-3.10%,-26.00%,4.06%,49.78,9.99,-0.40%,-0.30%,-0.10%,155207
19,59,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,-,-,11.80,6.79%,2320,59,-,-,-,-,-,-,-,-,-,-,-,-,-,11.80,6.79%,2320,59,-,-,-,-,-,-,-,-,-,-,-,-,-,11.80,6.79%,2320,59,-,-,20.94M,-,-,28.07%,-,0.00%,0.49,2.11K,11.80,6.79%,2320,59,8.26%,8.55%,-10.61%,17.65%,-,8.36%,3.58%,3.50%,-,2.11K,1.10,11.80,6.79%,2320,59,-,0.37,7.75%,7.25%,7.94%,-21.33%,19.19%,68.41,11.80,6.79%,6.40%,0.36%,2320
0,60,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,15.93B,9.79,39.64,0.41%,1064566,60,15.93B,-,3.90%,14.00%,10.10%,-,-,0.24,0.24,-,23.70%,18.40%,Apr 27/a,39.64,0.41%,1064566,60,15.93B,9.79,10.24,0.18,1.76,1.29,16.92,5.32,-14.20%,28.89%,19.50%,55.48%,16.30%,39.64,0.41%,1064566,60,15.93B,400.81M,391.25M,1.50%,-1.92%,99.50%,8.65%,1.28%,2.95,1.70M,39.64,0.41%,1064566,60,-0.10%,-1.37%,8.99%,19.72%,20.89%,9.90%,1.49%,2.06%,1.90,1.70M,0.63,39.64,0.41%,1064566,60,0.86,0.79,-0.47%,-0.20%,13.64%,-3.97%,51.18%,49.36,39.64,0.41%,0.63%,-0.23%,1064566
1,61,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,12.94B,125.45,13.80,-1.08%,70439,61,12.94B,-,0.20%,0.90%,3.70%,0.70,0.40,1.06,1.70,7.20%,3.20%,0.30%,-,13.80,-1.08%,70439,61,12.94B,125.45,-,-,0.45,1.11,8.59,8.42,-24.30%,-,25.50%,-,8.50%,13.80,-1.08%,70439,61,12.94B,680.91M,429.49M,-,-,1.60%,-0.12%,0.03%,0.66,190.91K,13.80,-1.08%,70439,61,-4.89%,-5.48%,17.85%,41.68%,174.35%,58.99%,1.63%,2.31%,-,190.91K,0.37,13.80,-1.08%,70439,61,1.94,0.50,-5.64%,5.84%,48.31%,-18.49%,196.74%,47.45,13.80,-1.08%,0.44%,-1.51%,70439
2,62,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,5.83B,40.10,65.60,0.91%,318609,62,5.83B,-,-,-,5.30%,1.30,1.30,0.65,0.66,-,-,-,Apr 29/a,65.60,0.91%,318609,62,5.83B,40.10,23.41,3.34,2.74,2.52,32.61,-,169.00%,14.32%,-0.60%,11.99%,3.10%,65.60,0.91%,318609,62,5.83B,89.74M,88.31M,0.70%,-21.00%,-,-0.21%,4.18%,7.61,485.71K,65.60,0.91%,318609,62,2.92%,4.53%,19.32%,55.16%,127.46%,30.52%,2.14%,2.50%,2.00,485.71K,0.66,65.60,0.91%,318609,62,1.56,1.59,3.56%,7.18%,38.29%,-0.38%,177.61%,62.75,65.60,0.91%,0.40%,0.51%,318609
3,63,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,515.12M,-,12.61,-0.55%,6966,63,515.12M,-,-,-,-,11.30,11.30,0.00,0.00,-,-,-,May 11/b,12.61,-0.55%,6966,63,515.12M,-,-,-,-,-,2.90,-,-137.30%,-,-,-,-,12.61,-0.55%,6966,63,515.12M,40.85M,40.62M,-,-,42.20%,-,0.67%,2.34,117.03K,12.61,-0.55%,6966,63,0.08%,-20.64%,-,-,-,-23.81%,2.36%,7.41%,-,117.03K,0.06,12.61,-0.55%,6966,63,-,0.81,-3.81%,-12.60%,-12.60%,-33.45%,0.80%,38.78,12.61,-0.55%,-0.39%,-0.16%,6966
4,64,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,76.64M,-,8.65,1.76%,262186,64,76.64M,-,-65.80%,-72.20%,-,8.70,8.70,0.00,0.00,-,-,-,Mar 12/a,8.65,1.76%,262186,64,76.64M,-,-,-,-,1.76,2.59,-,86.40%,29.50%,-,-,-,8.65,1.76%,262186,64,76.64M,6.13M,6.09M,0.10%,209.79%,17.10%,33.24%,7.03%,3.45,123.97K,8.65,1.76%,262186,64,8.94%,-12.27%,-18.32%,13.97%,-3.89%,6.79%,7.21%,7.53%,1.70,123.97K,2.11,8.65,1.76%,262186,64,1.39,0.66,-3.74%,-14.75%,-12.21%,-52.63%,26.28%,43.89,8.65,1.76%,0.58%,1.18%,262186
5,65,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,9.35B,13.95,20.17,0.60%,1179074,65,9.35B,1.98%,3.20%,63.00%,13.00%,1.00,0.40,6.12,6.28,29.30%,2.20%,1.20%,Apr 26/b,20.17,0.60%,1179074,65,9.35B,13.95,9.91,-,0.13,7.13,5.45,4.20,83.00%,3.04%,23.00%,-11.66%,3.50%,20.17,0.60%,1179074,65,9.35B,468.20M,223.93M,0.70%,0.15%,57.90%,6.98%,5.54%,7.29,1.70M,20.17,0.60%,1179074,65,6.27%,8.38%,13.63%,29.96%,-,14.73%,2.88%,2.77%,2.30,1.70M,0.69,20.17,0.60%,1179074,65,-,0.56,5.23%,5.46%,21.66%,-3.45%,56.24%,63.40,20.17,0.60%,0.15%,0.45%,1179074
6,66,ACIC,Atlas Crest Investment Corp.,Financial,Shell Companies,USA,620.60M,-,9.92,-0.10%,374713,66,620.60M,-,-,-,-,0.20,0.20,0.00,0.00,-,-,-,-,9.92,-0.10%,374713,66,620.60M,-,-,-,-,1.37,1551.49,-,-,-,-,-,-,9.92,-0.10%,374713,66,620.60M,62.50M,50.00M,-,-,54.30%,42.33%,10.25%,3.22,1.59M,9.92,-0.10%,374713,66,0.30%,0.30%,-10.06%,-,-,-1.39%,0.36%,0.57%,-,1.59M,0.24,9.92,-0.10%,374713,66,-,0.05,0.25%,-0.49%,-7.46%,-46.67%,1.95%,46.72,9.92,-0.10%,-0.20%,0.10%,374713
7,67,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA,422.58M,-,9.80,0.00%,130202,67,422.58M,-,-,-,-,16.40,16.40,0.00,0.00,-,-,-,-,9.80,0.00%,130202,67,422.58M,-,-,-,-,1.27,704.29,-,-,-,-,-,-,9.80,0.00%,130202,67,422.58M,43.12M,34.50M,-,-,19.30%,399.78%,0.37%,1.28,98.33K,9.80,0.00%,130202,67,0.41%,-0.10%,-,-,-,-2.00%,0.42%,0.50%,-,98.33K,1.32,9.80,0.00%,130202,67,-,0.05,0.41%,-0.69%,-0.69%,-5.50%,3.59%,50.86,9.80,0.00%,0.20%,-0.20%,130202
8,68,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,29.89,0.71%,6794,68,-,0.87%,-,-,-,-,-,-,-,-,-,-,-,29.89,0.71%,6794,68,-,-,-,-,-,-,-,-,-,-,-,-,-,29.89,0.71%,6794,68,-,-,-,-,-,-,-,-,-,23.86K,29.89,0.71%,6794,68,0.31%,0.95%,9.17%,8.82%,20.58%,7.45%,0.93%,0.91%,-,23.86K,0.28,29.89,0.71%,6794,68,-,0.30,0.93%,1.86%,7.46%,-1.35%,21.17%,58.73,29.89,0.71%,1.12%,-0.41%,6794
9,69,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,440.98M,-,6.28,3.46%,673135,69,440.98M,-,-28.50%,-31.30%,-28.10%,19.80,19.80,0.01,0.01,-,-,-,Mar 23/b,6.28,3.46%,673135,69,440.98M,-,-,-,119.18,1.97,1.84,-,-234.80%,87.10%,-33.80%,-,-17.00%,6.28,3.46%,673135,69,440.98M,72.31M,35.33M,51.34%,0.00%,26.10%,-8.13%,3.39%,3.98,300.72K,6.28,3.46%,673135,69,-1.72%,0.16%,-15.48%,12.54%,-5.28%,21.47%,8.11%,5.71%,1.70,300.72K,2.24,6.28,3.46%,673135,69,0.75,0.38,0.10%,-6.45%,-1.78%,-51.69%,42.08%,46.62,6.28,3.46%,3.12%,0.33%,673135
